"region","tdate","country","discharging_port","delivery_mode","customer_name","customer_group","category","pid","pallets","branding","total_volume","volume_per_container","incoterm","status1","Status2","payment_terms","payment_terms_days","price","estimated_freight","estimated_fob","sales_order","od","supplier","transporter","inspection","shipping_line","shipped_via","loading_date_at_plant","quantity_removed_from_the_site","stuffing_date","real_freight","real_fob","blno","sequence_date","transit_time","bldate","net_quantity","clearance_date","userComment","type_tc","port_loading","freight_invoice","freight_invoice2","freight_invoice3","days_of_storage","storage_cost","days_of_storage2","storage_cost2","days_of_storage3","storage_cost3","jours_half","jours_1","jours_2","jours_3","ac_status","contract_id","contract_status","invoice","Payment_status"
"Local Market","2022-07-03","Nigeria","LAT KRABANG","Truck","Vial/Vitafort","CP Group","MDCP","0","1 pallet per BB","Phosfeed","550","20","CIF","Deal concluded","CONFIRMED","Cable bank transfer","45","690","20","37","1843","14","ONCF","HAPAG LLOYD","Inspectorate","CMA CGM","MAERSK","2022-11-19","484","2022-08-29","27","36","0","2022-09-18","15","2022-06-23","100","2022-05-22","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Local Market","2022-10-04","Morocco","LAT KRABANG","Container","ALF AMMAR","ESIFAR","MCP","0","1 pallet per 2 BB","Phosfeed","4400","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","0","780","20","40","1435","15","ONCF","CMA CGM","Inspectorate","HAPAG LLOYD","MAERSK","2022-11-19","1320","2022-05-29","33","36","0","2022-09-18","0","2022-12-25","550","2022-06-23","","40' Dry","TANGER","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19832","Paid\"
"Local Market","2022-04-02","Argentina","BUENOS AIRES","Container","GREEFOS","CP Group","MCP","0","1 pallet per 2 BB","Phosfeed","1200","22","CFR","Deal concluded","CONFIRMED","D/A","60","730","25","37","1435","16","SVN","SEALAND","Inspectorate","HAPAG LLOYD","CMA CGM","2022-11-18","110","0000-00-00","0","33","1236876312","2022-05-17","15","2022-09-23","1200","2022-09-23","","20'","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Americas","2022-04-02","Argentina","LAT KRABANG","Container","GREEFOS","ESIFAR","DCP","0","1 pallet per 2 BB","Phosfeed","100","25","CFR","Deal concluded","CONFIRMED","L/C","45","690","30","40","1772","17","SVN","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-08-17","110","0000-00-00","0","33","0","2022-05-17","15","2022-12-25","440","2022-09-23","","20'","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed Customer","18452","Paid\"
"Asia","2022-10-04","Greece","THESSALONIKI","Container","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CIF","Deal concluded","CONFIRMED","Cable bank transfer","45","780","44","35","1743","18","ONCF","SEALAND","Inspectorate","BDP","CMA CGM","2022-05-17","4840","2022-05-29","33","38","0","2022-12-20","25","2022-05-22","440","2022-09-23","","20'","","116","0","0","0","84.91","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Europe","2022-04-02","Greece","BUENOS AIRES","Vessel","GREEFOS","ESIFAR","MCP","0","1 pallet per BB","Neutre","1200","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","0","740","25","35","1772","19","SVN","MAERSK","Inspectorate","MAERSK","HAPAG LLOYD","2022-04-15","1320","0000-00-00","27","40","0","0000-00-00","30","2022-06-23","440","2022-12-25","","","TANGER","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18732","Paid\"
"Europe","2022-07-03","Nigeria","THESSALONIKI","Container","Vial/Vitafort","GREEFOS","MCP","0","1 pallet per BB","Phosfeed","1200","25","CFR","Deal concluded","CONFIRMED","L/C","60","610","30","0","1435","20","SVN","CMA CGM","Inspectorate","HAPAG LLOYD","SEALAND","2022-08-17","4840","2022-04-27","33","0","0","0000-00-00","60","2022-05-22","550","0000-00-00","","20'","TANGER","137986.14","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18732","Paid\"
"Europe","2022-04-02","Morocco","BUENOS AIRES","Container","ESIFAR","ESIFAR","DCP","0","1 pallet per BB","Phosfeed","100","20","CFR","Deal concluded","CONFIRMED","L/C","60","610","0","40","1743","21","SVN","SEALAND","Inspectorate","CMA CGM","SEALAND","2022-11-19","110","2022-05-29","27","36","237739812","2022-05-17","0","2022-12-25","1200","2022-05-22","","","TANGER","0","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Asia","2022-10-04","Thailand","","Container","CPF (Thailand) Public Company Limited","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","1200","20","CFR","Deal concluded","CONFIRMED","D/A","45","740","25","37","1743","22","IPSEN","SEALAND","Inspectorate","CMA CGM","MAERSK","2022-11-19","484","2022-04-27","33","40","0","2022-12-20","25","2022-06-23","1200","2022-05-22","","20'","","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Europe","2022-10-05","Nigeria","","Vessel","ESIFAR","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","1200","25","CFR","Delivery in progress","CONFIRMED","CAD","45","610","0","35","1435","23","IPSEN","HAPAG LLOYD","Inspectorate","BDP","SEALAND","2022-11-19","605","2022-08-29","40","0","1236876312","0000-00-00","15","0000-00-00","550","2022-06-23","","20'","JORF LASFAR","116","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19832","Paid\"
"Europe","2022-10-04","Nigeria","BUENOS AIRES","Container","GREEFOS","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","0","610","25","37","1743","24","ONCF","MAERSK","Inspectorate","CMA CGM","HAPAG LLOYD","2022-05-17","110","2022-08-29","33","40","0","2022-09-18","25","0000-00-00","100","0000-00-00","","20'","JORF LASFAR","0","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18668","Paid\"
"Europe","2022-10-05","Greece","BUENOS AIRES","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Deal concluded","CONFIRMED","Cable bank transfer","0","780","25","37","1435","25","SVN","GAMMA","Inspectorate","HAPAG LLOYD","MAERSK","2022-08-17","484","2022-08-29","40","36","0","2022-12-20","25","2022-09-23","100","2022-12-25","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1398","Signed Customer","18732","Paid\"
"Americas","2022-10-04","Argentina","BUENOS AIRES","Container","ESIFAR","ESIFAR","MCP","0","1 pallet per 2 BB","Phosfeed","100","20","CFR","Deal concluded","CONFIRMED","L/C","0","690","20","40","1435","26","ONCF","GAMMA","Inspectorate","SEALAND","CMA CGM","2022-11-19","484","0000-00-00","33","36","0","2022-12-20","0","2022-09-23","1200","2022-12-25","","40' Dry","CASABLANCA","0","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18452","Not Paid\"
"Americas","2022-10-05","Argentina","","Truck","ALF AMMAR","ESIFAR","MCP","0","1 pallet per 2 BB","Neutre","100","22","CIF","Invoiced","CONFIRMED","Cable bank transfer","90","730","20","0","1634","27","IPSEN","CMA CGM","Inspectorate","MAERSK","HAPAG LLOYD","2022-11-18","1320","2022-05-29","40","38","1236876312","2022-06-18","15","2022-05-22","1200","2022-06-23","","40' Dry","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18668","Not Paid\"
"Africa","2022-03-01","Argentina","","Truck","Vial/Vitafort","CP Group","MDCP","0","1 pallet per BB","Neutre","100","25","EXW","Delivery in progress","CONFIRMED","Cable bank transfer","90","740","20","37","1435","28","SVN","GAMMA","Inspectorate","MAERSK","MAERSK","2022-05-17","4840","2022-11-30","0","38","0","2022-12-20","30","2022-09-23","100","0000-00-00","","20'","JORF LASFAR","116","0","0","0","84.91","0","0","0","0","0","1","0","0","Sent","1382","Signed OCP","18732","Paid\"
"Europe","2022-04-02","Nigeria","","Truck","CPF (Thailand) Public Company Limited","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","780","0","40","1743","29","SVN","GAMMA","Inspectorate","MAERSK","CMA CGM","2022-11-19","4840","2022-08-29","19","38","237739812","2022-06-18","15","0000-00-00","440","2022-12-25","","20'","CASABLANCA","116","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18732","Paid\"
"Asia","2022-07-03","Argentina","LAT KRABANG","Container","ESIFAR","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Neutre","550","20","EXW","Deal concluded","CONFIRMED","Cable bank transfer","90","610","25","0","1843","30","IPSEN","HAPAG LLOYD","Inspectorate","MAERSK","MAERSK","2022-05-17","605","2022-11-30","33","38","237739812","0000-00-00","30","2022-09-23","550","2022-12-25","","40' Dry","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1398","Signed Customer","18668","Paid\"
"Americas","2022-10-05","Argentina","LAT KRABANG","Container","GREEFOS","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","550","22","CIF","Deal concluded","CONFIRMED","D/A","90","780","20","37","1743","31","IPSEN","HAPAG LLOYD","Inspectorate","MAERSK","MAERSK","2022-08-17","1320","0000-00-00","19","40","0","2022-05-17","25","2022-09-23","1200","2022-12-25","","20'","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed Customer","18668","Paid\"
"Local Market","2022-10-05","Argentina","THESSALONIKI","Container","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","550","22","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","45","740","25","35","1435","32","SVN","CMA CGM","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-08-17","605","0000-00-00","33","38","0","2022-12-20","25","2022-06-23","100","2022-06-23","","20'","","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","19423","Paid\"
"Africa","2022-10-04","Nigeria","","Container","GREEFOS","Vial/Vitafort","MDCP","0","1 pallet per BB","Neutre","1200","20","CFR","Finalized","CONFIRMED","CAD","15","690","44","0","1634","33","SVN","HAPAG LLOYD","Inspectorate","BDP","SEALAND","2022-05-17","484","2022-08-29","40","40","0","2022-06-18","0","2022-12-25","4434","2022-09-23","","20'","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1982","Signed OCP","18732","Paid\"
"Africa","2022-04-02","Argentina","BUENOS AIRES","Container","ESIFAR","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","100","25","CFR","Deal concluded","CONFIRMED","Cable bank transfer","0","780","0","0","1435","34","ONCF","HAPAG LLOYD","Inspectorate","HAPAG LLOYD","CMA CGM","2022-11-18","605","0000-00-00","33","38","0","2022-06-18","15","2022-09-23","440","2022-06-23","","40' Dry","CASABLANCA","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Europe","2022-04-02","Greece","BUENOS AIRES","Vessel","ALF AMMAR","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","20","CFR","Finalized","CONFIRMED","D/A","60","610","0","0","1435","35","SVN","CMA CGM","Inspectorate","MAERSK","SEALAND","2022-05-17","4840","2022-11-30","40","40","0","2022-06-18","60","0000-00-00","100","2022-12-25","","","JORF LASFAR","137986.14","2280.23","0","0","84.91","0","0","0","0","0","1","0","0","Sent","1382","Signed OCP","18732","Paid\"
"Asia","2022-07-03","Morocco","LAT KRABANG","Container","Vial/Vitafort","GREEFOS","DCP","0","1 pallet per BB","Phosfeed","100","20","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","60","780","20","37","1435","36","SVN","MAERSK","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-08-17","110","2022-04-27","40","0","0","2022-05-17","25","2022-06-23","100","2022-05-22","","","CASABLANCA","137986.14","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","19423","Paid\"
"Europe","2022-04-02","Argentina","BUENOS AIRES","Truck","CPF (Thailand) Public Company Limited","CP Group","DCP","0","1 pallet per 2 BB","Phosfeed","100","25","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","690","25","0","1772","37","SVN","SEALAND","Inspectorate","MAERSK","MAERSK","2022-11-18","4840","2022-05-29","19","36","0","2022-06-18","60","2022-05-22","100","2022-09-23","","40' Dry","JORF LASFAR","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Signed Customer","19423","Not Paid\"
"Asia","2022-10-04","Greece","","Container","ESIFAR","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CIF","Invoiced","CONFIRMED","D/A","45","690","0","35","1743","38","SVN","CMA CGM","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-04-15","110","2022-08-29","0","36","1236876312","2022-09-18","0","2022-12-25","4434","2022-09-23","","20'","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","18668","Paid\"
"Americas","2022-04-02","Nigeria","BUENOS AIRES","Container","ALF AMMAR","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","CFR","Finalized","CONFIRMED","Cable bank transfer","15","780","20","37","1743","39","SVN","HAPAG LLOYD","Inspectorate","SEALAND","MAERSK","2022-05-17","110","0000-00-00","0","0","1236876312","2022-05-17","25","0000-00-00","550","0000-00-00","","20'","","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1383","Draft","18732","Paid\"
"Africa","2022-03-01","Thailand","THESSALONIKI","Truck","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per BB","Phosfeed","1200","20","CFR","Invoiced","CONFIRMED","CAD","0","780","30","35","1435","40","IPSEN","SEALAND","Inspectorate","SEALAND","HAPAG LLOYD","2022-11-18","605","2022-08-29","40","38","0","2022-12-20","30","2022-06-23","440","2022-09-23","","40' Dry","CASABLANCA","0","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Draft","18452","Paid\"
"Local Market","2022-10-04","Greece","LAGOS","Container","GREEFOS","CP Group","MDCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","730","0","0","1634","41","ONCF","MAERSK","Inspectorate","SEALAND","MAERSK","2022-04-15","484","2022-04-27","40","40","0","0000-00-00","60","0000-00-00","4434","2022-05-22","","20'","TANGER","137986.14","0","0","2","84.91","0","0","0","0","3","0","0","0","Sent","1398","Signed OCP","19423","Paid\"
"Africa","2022-07-03","Greece","BUENOS AIRES","Truck","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","4400","20","CIF","Delivery in progress","CONFIRMED","CAD","60","690","44","37","1772","42","IPSEN","SEALAND","Inspectorate","HAPAG LLOYD","MAERSK","2022-08-17","1320","2022-11-30","0","0","0","0000-00-00","60","2022-12-25","550","2022-09-23","","40' Dry","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1443","Signed OCP","19423","Paid\"
"Americas","2022-10-05","Greece","THESSALONIKI","Container","CPF (Thailand) Public Company Limited","CP Group","MDCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Invoiced","CONFIRMED","Cable bank transfer","0","690","44","37","1634","43","IPSEN","GAMMA","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-11-19","484","0000-00-00","40","38","0","0000-00-00","30","2022-09-23","550","0000-00-00","","20'","CASABLANCA","116","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Asia","2022-10-05","Argentina","","Container","ALF AMMAR","Vial/Vitafort","MCP","0","1 pallet per BB","Phosfeed","1200","20","CIF","Deal concluded","CONFIRMED","D/A","0","780","44","0","1435","44","IPSEN","MAERSK","Inspectorate","HAPAG LLOYD","MAERSK","2022-05-17","4840","2022-05-29","40","0","0","0000-00-00","60","2022-09-23","1200","0000-00-00","","40' Dry","TANGER","116","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1443","Signed OCP","19832","Paid\"
"Europe","2022-10-05","Morocco","THESSALONIKI","Truck","ALF AMMAR","ALF AMMAR","DCP","0","1 pallet per BB","Phosfeed","4400","25","CIF","Deal concluded","CONFIRMED","L/C","90","780","25","40","1772","45","IPSEN","SEALAND","Inspectorate","CMA CGM","CMA CGM","2022-08-17","110","0000-00-00","40","33","0","2022-12-20","30","2022-09-23","100","0000-00-00","","20'","CASABLANCA","119178.58","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed Customer","19832","Paid\"
"Africa","2022-10-04","Argentina","","Container","ESIFAR","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","20","CFR","Invoiced","CONFIRMED","Cable bank transfer","45","740","30","40","1435","46","ONCF","SEALAND","Inspectorate","SEALAND","CMA CGM","2022-11-18","4840","2022-05-29","19","38","1236876312","2022-12-20","25","0000-00-00","440","2022-09-23","","20'","TANGER","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1982","Signed OCP","18668","Paid\"
"Americas","2022-07-03","Greece","LAGOS","Container","ESIFAR","ESIFAR","MDCP","0","1 pallet per 2 BB","Phosfeed","550","22","EXW","Delivery in progress","CONFIRMED","D/A","15","780","30","37","1772","47","SVN","GAMMA","Inspectorate","CMA CGM","HAPAG LLOYD","2022-05-17","605","2022-05-29","27","36","1236876312","0000-00-00","25","2022-12-25","100","2022-12-25","","","CASABLANCA","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","19423","Not Paid\"
"Americas","2022-07-03","Morocco","","Container","CPF (Thailand) Public Company Limited","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","440","20","CFR","Invoiced","CONFIRMED","L/C","60","780","30","35","1772","48","SVN","CMA CGM","Inspectorate","CMA CGM","SEALAND","2022-05-17","4840","2022-04-27","0","36","237739812","2022-06-18","30","2022-12-25","440","2022-12-25","","20'","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","3","1","0","0","Sent","1382","Signed OCP","18452","Paid\"
"Asia","2022-10-04","Thailand","","Vessel","GREEFOS","GREEFOS","MCP","0","1 pallet per BB","Phosfeed","4400","20","CIF","Deal concluded","CONFIRMED","Cable bank transfer","15","730","44","37","1743","49","IPSEN","SEALAND","Inspectorate","HAPAG LLOYD","SEALAND","2022-04-15","605","2022-05-29","0","40","0","2022-12-20","60","2022-06-23","440","2022-09-23","","20'","TANGER","137986.14","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","18452","Paid\"
"Americas","2022-10-04","Morocco","LAGOS","Container","ESIFAR","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","1200","25","CFR","Invoiced","CONFIRMED","D/A","0","730","30","37","1435","50","SVN","MAERSK","Inspectorate","HAPAG LLOYD","SEALAND","2022-11-19","1320","2022-08-29","40","38","237739812","2022-06-18","60","0000-00-00","440","2022-09-23","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1382","Signed OCP","18732","Paid\"
"Africa","2022-10-04","Greece","BUENOS AIRES","Container","ESIFAR","GREEFOS","DCP","0","1 pallet per 2 BB","Phosfeed","1200","22","CIF","Finalized","CONFIRMED","D/A","45","690","44","0","1743","51","SVN","GAMMA","Inspectorate","SEALAND","CMA CGM","2022-04-15","484","2022-11-30","27","33","0","2022-06-18","15","2022-12-25","440","2022-09-23","","20'","","119178.58","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1398","Signed Customer","18732","Paid\"
