did,Region,Status,Status II,Volume per container,Estimated Freight,Country,Discharging Port,Type TC,Delivery Mode,Avis de Chargement status,Fret réel,Transit time,Supplier,Shipped Via,Shipping Line ,PORT LOADING,Transporter,1/2 jours,1 JOURS,2 JOURS,3 JOURS
11,Africa,Invoiced,CONFIRMED,25,44,Nigeria,LAGOS,20',Container,Sent,19,,SVN,MAERSK,HAPAG LLOYD,JORF LASFAR,HAPAG LLOYD,3.0,,,
12,Asia,Deal concluded,CONFIRMED,20,30,Argentina,,20',Container,Sent,27,30.0,SVN,SEALAND,BDP,JORF LASFAR,SEALAND,,1.0,,
13,Americas,Finalized,CONFIRMED,22,20,Greece,LAGOS,20',Container,Sent,0,30.0,ONCF,MAERSK,HAPAG LLOYD,CASABLANCA,CMA CGM,,,0.0,
14,Local Market,Deal concluded,CONFIRMED,22,30,Argentina,LAGOS,40' Dry,Vessel,Sent,0,25.0,SVN,HAPAG LLOYD,MAERSK,CASABLANCA,HAPAG LLOYD,,1.0,0.0,
15,Asia,Deal concluded,CONFIRMED,22,44,Greece,LAT KRABANG,20',Truck,Sent,19,60.0,IPSEN,CMA CGM,CMA CGM,CASABLANCA,SEALAND,,,,
16,Local Market,Delivery in progress,CONFIRMED,20,30,Argentina,LAGOS,20',Truck,Sent,33,25.0,IPSEN,HAPAG LLOYD,CMA CGM,JORF LASFAR,MAERSK,,,,0.0
17,Local Market,Finalized,CONFIRMED,20,25,Greece,BUENOS AIRES,,Truck,Sent,33,30.0,SVN,MAERSK,SEALAND,CASABLANCA,CMA CGM,,,,0.0
18,Americas,Finalized,CONFIRMED,20,25,Morocco,,20',Container,Sent,33,25.0,SVN,MAERSK,CMA CGM,,HAPAG LLOYD,3.0,,0.0,
19,Local Market,Invoiced,CONFIRMED,20,30,Thailand,LAGOS,,Vessel,Sent,19,15.0,IPSEN,CMA CGM,MAERSK,,CMA CGM,3.0,,0.0,
20,Local Market,Invoiced,CONFIRMED,22,20,Thailand,LAT KRABANG,20',Vessel,Sent,40,25.0,SVN,HAPAG LLOYD,CMA CGM,CASABLANCA,MAERSK,,,,
21,Africa,Deal concluded,CONFIRMED,20,20,Thailand,LAT KRABANG,20',Truck,Sent,40,25.0,SVN,MAERSK,HAPAG LLOYD,TANGER,GAMMA,,,0.0,
22,Europe,Deal concluded,CONFIRMED,25,25,Morocco,THESSALONIKI,,Truck,Sent,27,30.0,SVN,HAPAG LLOYD,BDP,CASABLANCA,MAERSK,,,,0.0
23,Americas,Invoiced,CONFIRMED,25,0,Morocco,THESSALONIKI,20',Container,Sent,33,,SVN,MAERSK,HAPAG LLOYD,CASABLANCA,GAMMA,,,,0.0
24,Americas,Finalized,CONFIRMED,20,0,Greece,,,Container,Sent,27,60.0,SVN,MAERSK,CMA CGM,TANGER,MAERSK,,,,
25,Europe,Deal concluded,CONFIRMED,25,44,Nigeria,,20',Vessel,Sent,27,25.0,SVN,MAERSK,MAERSK,CASABLANCA,SEALAND,,,,
26,Asia,Deal concluded,CONFIRMED,22,20,Nigeria,THESSALONIKI,20',Truck,Sent,27,15.0,SVN,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,SEALAND,,,,
27,Europe,Deal concluded,CONFIRMED,25,0,Argentina,,,Truck,Sent,40,,SVN,SEALAND,BDP,,SEALAND,3.0,,,
28,Local Market,Deal concluded,CONFIRMED,20,20,Thailand,BUENOS AIRES,,Vessel,Sent,27,30.0,IPSEN,CMA CGM,CMA CGM,JORF LASFAR,MAERSK,,,,
29,Asia,Finalized,CONFIRMED,25,30,Greece,BUENOS AIRES,20',Vessel,Sent,40,15.0,ONCF,CMA CGM,MAERSK,,CMA CGM,3.0,,,
30,Europe,Deal concluded,CONFIRMED,22,25,Greece,BUENOS AIRES,,Truck,Sent,27,30.0,SVN,HAPAG LLOYD,HAPAG LLOYD,,GAMMA,,1.0,,
31,Asia,Deal concluded,CONFIRMED,22,25,Argentina,LAT KRABANG,20',Container,Sent,27,,SVN,HAPAG LLOYD,BDP,CASABLANCA,MAERSK,,,,
32,Africa,Invoiced,CONFIRMED,22,0,Argentina,BUENOS AIRES,20',Truck,Sent,19,60.0,IPSEN,CMA CGM,BDP,CASABLANCA,SEALAND,,,,
33,Asia,Finalized,CONFIRMED,22,44,Nigeria,LAT KRABANG,,Truck,Sent,0,60.0,IPSEN,CMA CGM,CMA CGM,CASABLANCA,GAMMA,3.0,,,0.0
34,Asia,Invoiced,CONFIRMED,20,20,Thailand,BUENOS AIRES,40' Dry,Container,Sent,0,30.0,SVN,MAERSK,MAERSK,CASABLANCA,CMA CGM,,,0.0,
35,Europe,Finalized,CONFIRMED,22,0,Morocco,BUENOS AIRES,20',Container,Sent,0,60.0,SVN,MAERSK,MAERSK,,GAMMA,,,,
36,Asia,Finalized,CONFIRMED,25,0,Morocco,BUENOS AIRES,20',Container,Sent,33,25.0,SVN,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,MAERSK,,1.0,,
37,Europe,Deal concluded,CONFIRMED,22,25,Nigeria,LAGOS,20',Container,Sent,33,15.0,IPSEN,HAPAG LLOYD,CMA CGM,CASABLANCA,HAPAG LLOYD,3.0,,,
38,Africa,Deal concluded,CONFIRMED,22,20,Greece,LAGOS,20',Container,Sent,33,15.0,SVN,SEALAND,CMA CGM,CASABLANCA,CMA CGM,,,0.0,
39,Africa,Deal concluded,CONFIRMED,22,20,Greece,LAT KRABANG,20',Vessel,Sent,19,15.0,SVN,CMA CGM,CMA CGM,,SEALAND,,,0.0,
40,Africa,Invoiced,CONFIRMED,22,25,Morocco,LAGOS,20',Truck,Sent,19,25.0,SVN,MAERSK,MAERSK,CASABLANCA,GAMMA,,,,0.0
41,Local Market,Deal concluded,CONFIRMED,20,30,Greece,,40' Dry,Container,Sent,33,25.0,SVN,MAERSK,CMA CGM,,MAERSK,,,,
42,Africa,Finalized,CONFIRMED,20,30,Thailand,LAT KRABANG,20',Container,Sent,33,15.0,IPSEN,MAERSK,BDP,,GAMMA,,,,
43,Americas,Deal concluded,CONFIRMED,22,44,Morocco,THESSALONIKI,20',Vessel,Sent,40,60.0,IPSEN,MAERSK,SEALAND,JORF LASFAR,CMA CGM,3.0,,0.0,
44,Asia,Deal concluded,CONFIRMED,22,30,Nigeria,,20',Container,Sent,33,,IPSEN,MAERSK,BDP,TANGER,HAPAG LLOYD,,,,
45,Americas,Finalized,CONFIRMED,20,25,Argentina,THESSALONIKI,20',Container,Sent,19,30.0,IPSEN,HAPAG LLOYD,SEALAND,CASABLANCA,HAPAG LLOYD,3.0,,,
46,Africa,Deal concluded,CONFIRMED,22,44,Argentina,THESSALONIKI,20',Container,Sent,0,15.0,IPSEN,MAERSK,HAPAG LLOYD,CASABLANCA,MAERSK,,,,
47,Europe,Deal concluded,CONFIRMED,20,20,Greece,LAT KRABANG,20',Container,Sent,40,30.0,ONCF,CMA CGM,HAPAG LLOYD,CASABLANCA,GAMMA,3.0,,,
48,Americas,Deal concluded,CONFIRMED,22,30,Morocco,LAT KRABANG,20',Truck,Sent,40,25.0,SVN,MAERSK,HAPAG LLOYD,TANGER,MAERSK,,,,
49,Europe,Deal concluded,CONFIRMED,20,30,Greece,BUENOS AIRES,20',Container,Sent,0,60.0,IPSEN,HAPAG LLOYD,BDP,CASABLANCA,CMA CGM,3.0,,,0.0
50,Local Market,Delivery in progress,CONFIRMED,22,44,Argentina,,20',Container,Sent,40,60.0,IPSEN,SEALAND,CMA CGM,CASABLANCA,GAMMA,,1.0,,
51,Europe,Invoiced,CONFIRMED,20,25,Morocco,BUENOS AIRES,,Vessel,Sent,40,30.0,ONCF,SEALAND,CMA CGM,CASABLANCA,SEALAND,,,,
52,Europe,Delivery in progress,CONFIRMED,20,44,Greece,,40' Dry,Container,Sent,0,25.0,ONCF,SEALAND,CMA CGM,JORF LASFAR,MAERSK,,,,
53,Americas,Delivery in progress,CONFIRMED,25,25,Argentina,LAT KRABANG,20',Truck,Sent,0,25.0,ONCF,MAERSK,SEALAND,,CMA CGM,,,,
54,Local Market,Invoiced,CONFIRMED,22,44,Greece,BUENOS AIRES,20',Truck,Sent,33,,ONCF,MAERSK,CMA CGM,CASABLANCA,GAMMA,,,,0.0
55,Europe,Deal concluded,CONFIRMED,22,0,Greece,THESSALONIKI,20',Container,Sent,33,,SVN,CMA CGM,HAPAG LLOYD,TANGER,MAERSK,,,0.0,
56,Americas,Invoiced,CONFIRMED,22,25,Greece,THESSALONIKI,40' Dry,Container,Sent,40,30.0,IPSEN,HAPAG LLOYD,MAERSK,,SEALAND,,,,
57,Americas,Invoiced,CONFIRMED,25,20,Greece,LAT KRABANG,40' Dry,Container,Sent,27,60.0,SVN,SEALAND,SEALAND,TANGER,HAPAG LLOYD,,,,
58,Americas,Finalized,CONFIRMED,20,44,Argentina,THESSALONIKI,20',Container,Sent,33,60.0,SVN,HAPAG LLOYD,SEALAND,JORF LASFAR,GAMMA,,1.0,,
59,Local Market,Deal concluded,CONFIRMED,20,25,Nigeria,THESSALONIKI,20',Container,Sent,40,,ONCF,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,SEALAND,,,0.0,
60,Europe,Delivery in progress,CONFIRMED,22,0,Thailand,LAT KRABANG,40' Dry,Container,Sent,33,25.0,SVN,HAPAG LLOYD,BDP,JORF LASFAR,CMA CGM,3.0,1.0,,
61,Africa,Finalized,CONFIRMED,20,25,Thailand,LAT KRABANG,,Container,Sent,33,25.0,IPSEN,MAERSK,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,0.0
62,Americas,Finalized,CONFIRMED,22,25,Greece,,,Container,Sent,0,30.0,SVN,MAERSK,SEALAND,CASABLANCA,HAPAG LLOYD,,,,
63,Africa,Deal concluded,CONFIRMED,22,20,Thailand,LAGOS,20',Container,Sent,0,60.0,IPSEN,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,,,
64,Asia,Deal concluded,CONFIRMED,20,20,Argentina,BUENOS AIRES,40' Dry,Container,Sent,40,,ONCF,HAPAG LLOYD,MAERSK,TANGER,MAERSK,,,,0.0
65,Americas,Delivery in progress,CONFIRMED,22,44,Argentina,,,Vessel,Sent,0,30.0,ONCF,CMA CGM,MAERSK,,SEALAND,,,0.0,
66,Africa,Deal concluded,CONFIRMED,20,25,Thailand,LAT KRABANG,20',Vessel,Sent,27,15.0,SVN,MAERSK,SEALAND,TANGER,MAERSK,,,,
67,Africa,Deal concluded,CONFIRMED,20,20,Argentina,LAGOS,20',Container,Sent,33,30.0,ONCF,SEALAND,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
68,Europe,Finalized,CONFIRMED,20,20,Greece,BUENOS AIRES,,Container,Sent,19,60.0,SVN,MAERSK,SEALAND,CASABLANCA,GAMMA,,,,0.0
69,Europe,Finalized,CONFIRMED,20,44,Thailand,LAGOS,,Vessel,Sent,27,30.0,SVN,SEALAND,MAERSK,JORF LASFAR,SEALAND,,,,
70,Asia,Deal concluded,CONFIRMED,20,20,Nigeria,THESSALONIKI,20',Vessel,Sent,40,,ONCF,MAERSK,HAPAG LLOYD,CASABLANCA,MAERSK,,,,
71,Local Market,Invoiced,CONFIRMED,22,30,Thailand,THESSALONIKI,40' Dry,Container,Sent,0,15.0,ONCF,CMA CGM,HAPAG LLOYD,JORF LASFAR,SEALAND,3.0,,,
72,Asia,Finalized,CONFIRMED,22,20,Morocco,LAT KRABANG,40' Dry,Container,Sent,19,60.0,SVN,MAERSK,BDP,JORF LASFAR,CMA CGM,,,,0.0
73,Europe,Deal concluded,CONFIRMED,20,30,Argentina,LAT KRABANG,20',Container,Sent,33,25.0,IPSEN,SEALAND,SEALAND,CASABLANCA,SEALAND,,,,
74,Africa,Deal concluded,CONFIRMED,22,0,Thailand,BUENOS AIRES,40' Dry,Container,Sent,40,15.0,SVN,SEALAND,HAPAG LLOYD,TANGER,SEALAND,,,,
75,Africa,Deal concluded,CONFIRMED,20,20,Thailand,BUENOS AIRES,40' Dry,Truck,Sent,0,,IPSEN,MAERSK,CMA CGM,CASABLANCA,HAPAG LLOYD,3.0,,,
76,Europe,Deal concluded,CONFIRMED,22,20,Nigeria,LAT KRABANG,20',Vessel,Sent,40,30.0,ONCF,MAERSK,BDP,CASABLANCA,GAMMA,3.0,,,
77,Local Market,Invoiced,CONFIRMED,22,25,Argentina,LAGOS,20',Truck,Sent,0,30.0,IPSEN,CMA CGM,SEALAND,,GAMMA,,,,
78,Africa,Deal concluded,CONFIRMED,22,44,Nigeria,THESSALONIKI,40' Dry,Container,Sent,19,15.0,SVN,CMA CGM,CMA CGM,TANGER,MAERSK,,,,
79,Americas,Delivery in progress,CONFIRMED,25,25,Nigeria,LAT KRABANG,40' Dry,Container,Sent,0,30.0,IPSEN,SEALAND,SEALAND,JORF LASFAR,MAERSK,3.0,,0.0,
80,Local Market,Deal concluded,CONFIRMED,20,0,Morocco,BUENOS AIRES,20',Container,Sent,40,30.0,ONCF,CMA CGM,BDP,CASABLANCA,SEALAND,,,,
81,Africa,Deal concluded,CONFIRMED,25,44,Argentina,THESSALONIKI,20',Truck,Sent,33,60.0,SVN,MAERSK,SEALAND,CASABLANCA,HAPAG LLOYD,,,,
82,Europe,Delivery in progress,CONFIRMED,20,30,Argentina,LAT KRABANG,20',Container,Sent,0,60.0,SVN,MAERSK,CMA CGM,,SEALAND,,,,
83,Europe,Deal concluded,CONFIRMED,22,25,Morocco,BUENOS AIRES,20',Vessel,Sent,0,60.0,IPSEN,SEALAND,SEALAND,JORF LASFAR,SEALAND,,,,
84,Asia,Delivery in progress,CONFIRMED,25,20,Nigeria,THESSALONIKI,20',Container,Sent,33,25.0,IPSEN,SEALAND,CMA CGM,JORF LASFAR,CMA CGM,,,,
85,Africa,Deal concluded,CONFIRMED,20,30,Thailand,THESSALONIKI,20',Container,Sent,0,60.0,IPSEN,MAERSK,SEALAND,TANGER,CMA CGM,,,,
86,Americas,Delivery in progress,CONFIRMED,25,30,Greece,LAT KRABANG,20',Vessel,Sent,40,60.0,SVN,MAERSK,MAERSK,JORF LASFAR,HAPAG LLOYD,,,,0.0
87,Local Market,Deal concluded,CONFIRMED,25,0,Morocco,LAT KRABANG,,Vessel,Sent,27,15.0,SVN,MAERSK,SEALAND,CASABLANCA,GAMMA,,,,
88,Americas,Delivery in progress,CONFIRMED,22,30,Nigeria,LAT KRABANG,20',Vessel,Sent,33,25.0,ONCF,HAPAG LLOYD,BDP,JORF LASFAR,SEALAND,,,0.0,
89,Local Market,Delivery in progress,CONFIRMED,20,30,Morocco,LAGOS,,Container,Sent,33,60.0,IPSEN,HAPAG LLOYD,MAERSK,JORF LASFAR,HAPAG LLOYD,,,,
90,Local Market,Delivery in progress,CONFIRMED,22,44,Morocco,LAT KRABANG,20',Truck,Sent,19,,SVN,HAPAG LLOYD,MAERSK,TANGER,GAMMA,,,,
91,Europe,Delivery in progress,CONFIRMED,22,30,Greece,LAT KRABANG,,Vessel,Sent,19,25.0,SVN,SEALAND,BDP,JORF LASFAR,SEALAND,3.0,,,
92,Americas,Invoiced,CONFIRMED,22,20,Greece,,20',Container,Sent,0,25.0,IPSEN,MAERSK,BDP,,SEALAND,,,,
93,Local Market,Finalized,CONFIRMED,20,25,Greece,LAGOS,20',Container,Sent,33,,IPSEN,CMA CGM,MAERSK,JORF LASFAR,GAMMA,3.0,,,0.0
94,Africa,Deal concluded,CONFIRMED,20,30,Nigeria,THESSALONIKI,,Vessel,Sent,40,,SVN,MAERSK,CMA CGM,,CMA CGM,,1.0,,
95,Europe,Finalized,CONFIRMED,20,25,Thailand,,20',Vessel,Sent,40,,SVN,HAPAG LLOYD,HAPAG LLOYD,,CMA CGM,,1.0,,
96,Africa,Delivery in progress,CONFIRMED,22,44,Thailand,LAT KRABANG,40' Dry,Truck,Sent,40,,ONCF,MAERSK,CMA CGM,TANGER,CMA CGM,,,0.0,
97,Americas,Invoiced,CONFIRMED,22,20,Morocco,LAGOS,20',Container,Sent,27,15.0,ONCF,MAERSK,MAERSK,TANGER,MAERSK,,,,
98,Europe,Deal concluded,CONFIRMED,22,30,Argentina,LAGOS,,Truck,Sent,33,30.0,SVN,MAERSK,MAERSK,TANGER,MAERSK,,,,
99,Europe,Finalized,CONFIRMED,20,20,Morocco,THESSALONIKI,20',Vessel,Sent,19,25.0,SVN,MAERSK,BDP,,HAPAG LLOYD,3.0,1.0,,
100,Local Market,Finalized,CONFIRMED,25,44,Thailand,THESSALONIKI,,Container,Sent,19,25.0,SVN,HAPAG LLOYD,CMA CGM,TANGER,HAPAG LLOYD,,,,
101,Americas,Deal concluded,CONFIRMED,22,30,Argentina,THESSALONIKI,20',Truck,Sent,19,25.0,IPSEN,MAERSK,MAERSK,CASABLANCA,GAMMA,,1.0,,
102,Africa,Invoiced,CONFIRMED,20,0,Argentina,BUENOS AIRES,,Container,Sent,19,15.0,IPSEN,HAPAG LLOYD,BDP,,GAMMA,,1.0,,
103,Americas,Deal concluded,CONFIRMED,25,44,Argentina,LAT KRABANG,20',Truck,Sent,0,25.0,SVN,MAERSK,SEALAND,,GAMMA,,,,
104,Asia,Deal concluded,CONFIRMED,22,0,Argentina,LAGOS,20',Vessel,Sent,19,,ONCF,MAERSK,HAPAG LLOYD,JORF LASFAR,CMA CGM,,,,0.0
105,Africa,Deal concluded,CONFIRMED,22,20,Greece,LAGOS,,Container,Sent,40,30.0,IPSEN,HAPAG LLOYD,CMA CGM,CASABLANCA,MAERSK,,,,0.0
106,Asia,Delivery in progress,CONFIRMED,25,44,Morocco,THESSALONIKI,,Container,Sent,0,25.0,ONCF,CMA CGM,SEALAND,,SEALAND,3.0,,,
107,Africa,Deal concluded,CONFIRMED,20,0,Argentina,THESSALONIKI,20',Truck,Sent,33,30.0,ONCF,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,1.0,,0.0
108,Americas,Deal concluded,CONFIRMED,20,30,Thailand,LAT KRABANG,20',Container,Sent,33,15.0,IPSEN,SEALAND,BDP,TANGER,HAPAG LLOYD,,,0.0,
109,Americas,Deal concluded,CONFIRMED,20,25,Nigeria,THESSALONIKI,20',Container,Sent,27,15.0,ONCF,SEALAND,SEALAND,CASABLANCA,CMA CGM,,,,
110,Africa,Deal concluded,CONFIRMED,20,20,Greece,THESSALONIKI,,Container,Sent,40,,SVN,MAERSK,BDP,CASABLANCA,GAMMA,3.0,,,
111,Americas,Deal concluded,CONFIRMED,22,20,Morocco,LAGOS,20',Container,Sent,19,,IPSEN,MAERSK,CMA CGM,JORF LASFAR,GAMMA,,1.0,0.0,
112,Africa,Deal concluded,CONFIRMED,22,20,Thailand,,,Vessel,Sent,40,60.0,SVN,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,CMA CGM,,,,
113,Africa,Deal concluded,CONFIRMED,20,44,Thailand,LAT KRABANG,20',Truck,Sent,19,,IPSEN,MAERSK,SEALAND,CASABLANCA,SEALAND,,,,
114,Local Market,Deal concluded,CONFIRMED,25,44,Morocco,BUENOS AIRES,,Container,Sent,40,,IPSEN,CMA CGM,BDP,,CMA CGM,,,,
115,Africa,Deal concluded,CONFIRMED,20,30,Morocco,LAT KRABANG,,Container,Sent,19,15.0,SVN,SEALAND,MAERSK,JORF LASFAR,SEALAND,,,0.0,0.0
116,Asia,Deal concluded,CONFIRMED,22,25,Thailand,LAT KRABANG,20',Truck,Sent,19,30.0,ONCF,MAERSK,HAPAG LLOYD,CASABLANCA,CMA CGM,3.0,,,0.0
117,Local Market,Delivery in progress,CONFIRMED,25,30,Thailand,LAGOS,,Container,Sent,0,60.0,ONCF,CMA CGM,CMA CGM,JORF LASFAR,CMA CGM,3.0,,0.0,
118,Europe,Deal concluded,CONFIRMED,22,44,Thailand,BUENOS AIRES,20',Container,Sent,0,,SVN,HAPAG LLOYD,CMA CGM,CASABLANCA,HAPAG LLOYD,3.0,,,
119,Asia,Delivery in progress,CONFIRMED,25,20,Nigeria,,,Vessel,Sent,40,30.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,MAERSK,,1.0,,
120,Americas,Deal concluded,CONFIRMED,20,30,Morocco,LAT KRABANG,20',Vessel,Sent,19,,SVN,MAERSK,CMA CGM,,SEALAND,3.0,,,
121,Local Market,Deal concluded,CONFIRMED,20,0,Morocco,BUENOS AIRES,20',Truck,Sent,19,30.0,SVN,MAERSK,MAERSK,TANGER,CMA CGM,,1.0,,
122,Americas,Finalized,CONFIRMED,20,25,Greece,LAGOS,20',Vessel,Sent,19,25.0,SVN,MAERSK,MAERSK,JORF LASFAR,SEALAND,,,,
123,Local Market,Deal concluded,CONFIRMED,22,20,Nigeria,THESSALONIKI,20',Truck,Sent,0,,SVN,SEALAND,HAPAG LLOYD,TANGER,GAMMA,,,,
124,Americas,Delivery in progress,CONFIRMED,22,0,Morocco,LAGOS,,Container,Sent,0,25.0,IPSEN,MAERSK,HAPAG LLOYD,JORF LASFAR,CMA CGM,,,,
125,Asia,Deal concluded,CONFIRMED,20,25,Argentina,BUENOS AIRES,40' Dry,Vessel,Sent,19,25.0,IPSEN,CMA CGM,MAERSK,CASABLANCA,SEALAND,,,,
126,Africa,Deal concluded,CONFIRMED,25,30,Nigeria,LAT KRABANG,20',Vessel,Sent,0,,IPSEN,CMA CGM,MAERSK,JORF LASFAR,GAMMA,,,0.0,
127,Local Market,Deal concluded,CONFIRMED,22,20,Nigeria,LAT KRABANG,20',Truck,Sent,33,25.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
128,Local Market,Deal concluded,CONFIRMED,20,30,Nigeria,BUENOS AIRES,40' Dry,Container,Sent,19,30.0,ONCF,HAPAG LLOYD,SEALAND,JORF LASFAR,MAERSK,,,,0.0
129,Asia,Invoiced,CONFIRMED,25,20,Argentina,,20',Vessel,Sent,0,30.0,IPSEN,MAERSK,BDP,CASABLANCA,GAMMA,,1.0,,
130,Americas,Deal concluded,CONFIRMED,22,20,Thailand,,20',Container,Sent,33,15.0,ONCF,MAERSK,SEALAND,CASABLANCA,HAPAG LLOYD,3.0,1.0,,0.0
131,Asia,Delivery in progress,CONFIRMED,22,0,Morocco,LAGOS,,Container,Sent,27,60.0,IPSEN,CMA CGM,MAERSK,TANGER,GAMMA,,,,0.0
132,Africa,Deal concluded,CONFIRMED,25,20,Thailand,THESSALONIKI,40' Dry,Container,Sent,0,25.0,ONCF,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,,,0.0
133,Europe,Invoiced,CONFIRMED,22,0,Greece,THESSALONIKI,40' Dry,Truck,Sent,27,30.0,IPSEN,CMA CGM,BDP,,CMA CGM,,1.0,,
134,Local Market,Deal concluded,CONFIRMED,25,20,Greece,BUENOS AIRES,40' Dry,Container,Sent,0,25.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,SEALAND,,,,
135,Europe,Deal concluded,CONFIRMED,25,25,Morocco,LAGOS,20',Container,Sent,19,60.0,IPSEN,CMA CGM,SEALAND,CASABLANCA,MAERSK,,1.0,0.0,
136,Asia,Deal concluded,CONFIRMED,22,20,Nigeria,,20',Truck,Sent,0,60.0,SVN,MAERSK,SEALAND,TANGER,SEALAND,,1.0,,
137,Asia,Finalized,CONFIRMED,20,25,Morocco,LAGOS,20',Container,Sent,19,60.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,GAMMA,3.0,1.0,,
138,Africa,Delivery in progress,CONFIRMED,22,44,Argentina,,20',Truck,Sent,40,30.0,IPSEN,SEALAND,SEALAND,JORF LASFAR,GAMMA,,,,
139,Americas,Delivery in progress,CONFIRMED,25,30,Thailand,THESSALONIKI,20',Truck,Sent,27,60.0,IPSEN,SEALAND,BDP,CASABLANCA,HAPAG LLOYD,,,,
140,Local Market,Deal concluded,CONFIRMED,25,20,Argentina,LAGOS,20',Container,Sent,0,60.0,ONCF,SEALAND,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,0.0,
141,Asia,Deal concluded,CONFIRMED,20,44,Greece,BUENOS AIRES,20',Vessel,Sent,33,60.0,IPSEN,SEALAND,BDP,TANGER,CMA CGM,3.0,1.0,,
142,Local Market,Deal concluded,CONFIRMED,22,44,Morocco,THESSALONIKI,,Container,Sent,40,25.0,SVN,MAERSK,MAERSK,TANGER,GAMMA,,,,
143,Africa,Deal concluded,CONFIRMED,20,30,Morocco,BUENOS AIRES,20',Container,Sent,19,60.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,,MAERSK,3.0,,,
144,Europe,Invoiced,CONFIRMED,22,20,Nigeria,BUENOS AIRES,,Container,Sent,27,15.0,ONCF,SEALAND,MAERSK,TANGER,MAERSK,3.0,1.0,,
145,Asia,Finalized,CONFIRMED,25,25,Morocco,BUENOS AIRES,20',Container,Sent,0,60.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,CMA CGM,,,,
146,Local Market,Deal concluded,CONFIRMED,20,20,Argentina,,20',Container,Sent,40,30.0,IPSEN,CMA CGM,BDP,,MAERSK,3.0,,,
147,Local Market,Delivery in progress,CONFIRMED,22,20,Greece,LAGOS,,Truck,Sent,33,60.0,SVN,SEALAND,BDP,JORF LASFAR,HAPAG LLOYD,,1.0,,
148,Africa,Deal concluded,CONFIRMED,20,20,Thailand,LAT KRABANG,40' Dry,Container,Sent,33,15.0,ONCF,SEALAND,SEALAND,TANGER,HAPAG LLOYD,,,0.0,
